5	0	206.75	190.20
0	4	209.95	197.35
5	2	207.45	195.00
1	3	225.65	212.11
6	1	292.65	266.31
2	1	279.00	256.68
1	2	284.55	261.78
5	4	274.30	257.84
3	4	288.45	268.25
6	1	273.10	256.71
6	1	244.05	231.85
1	3	246.95	234.60
6	1	218.35	198.70
4	0	210.20	182.87
0	4	298.90	263.03
1	1	272.75	242.75
5	3	285.80	262.94
5	4	299.80	275.82
1	1	215.65	189.77
3	0	241.30	226.82
6	1	241.90	232.22
1	1	250.95	230.87
2	3	298.30	268.47
4	4	241.25	217.13
3	4	257.50	236.90
3	3	297.40	282.53
5	0	276.55	257.19
5	0	200.90	190.86
4	3	215.75	207.12
4	0	267.70	238.25
6	4	295.70	275.00
3	0	235.30	211.77
4	0	265.50	230.99
0	3	296.00	281.20
3	1	233.50	205.48
1	2	262.35	243.99
5	2	230.55	221.33
0	3	296.15	272.46
4	1	225.30	196.01
6	4	219.70	195.53
4	2	259.55	243.98
6	0	278.05	261.37
5	3	259.10	243.55
5	3	204.75	190.42
2	0	203.90	179.43
4	0	247.05	214.93
6	1	234.10	208.35
2	1	223.60	205.71
3	3	227.65	202.61
0	0	288.40	271.10
1	0	233.75	212.71
0	0	206.35	183.65
6	2	283.75	263.89
4	3	247.40	235.03
3	4	274.70	258.22
4	1	281.05	252.95
4	1	264.95	241.10
3	3	216.30	196.83
5	3	280.10	263.29
2	3	250.40	225.36
1	4	240.20	208.97
6	4	218.80	199.11
4	2	239.40	222.64
6	1	297.00	258.39
3	2	203.50	195.36
6	3	235.25	225.84
0	2	298.35	286.42
5	2	267.55	246.15
5	1	217.00	195.30
4	1	204.30	196.13
2	0	235.60	219.11
3	3	205.25	197.04
2	2	283.55	249.52
3	4	273.25	240.46
1	2	243.65	229.03
0	2	210.40	191.46
5	2	232.60	223.30
6	0	218.75	199.06
6	3	215.35	193.82
6	2	253.10	227.79
1	0	288.65	265.56
0	3	231.75	213.21
1	1	287.10	258.39
3	1	275.75	242.66
1	4	239.90	227.91
5	3	272.40	253.33
1	1	296.45	275.70
3	3	243.50	228.89
5	3	203.35	191.15
0	2	287.00	258.30
3	4	211.55	188.28
2	0	294.00	270.48
3	0	212.35	195.36
4	4	254.80	231.87
0	0	254.45	223.92
4	2	254.65	239.37
0	2	251.80	239.21
4	1	260.35	236.92
1	0	200.05	174.04
2	0	225.20	202.68
6	3	206.75	184.01
1	4	283.70	263.84
0	2	259.00	248.64
0	0	260.75	242.50
2	4	266.60	245.27
6	4	221.20	212.35
4	0	219.65	191.10
0	2	280.80	247.10
3	3	293.15	257.97
5	0	210.85	191.87
4	0	259.40	243.84
6	0	259.60	246.62
6	1	286.40	260.62
4	3	285.20	248.12
2	3	222.65	193.71
4	3	235.00	218.55
4	4	279.95	257.55
4	0	278.95	245.48
0	3	262.65	231.13
3	4	298.65	271.77
4	0	278.20	264.29
6	2	291.65	253.74
1	3	254.80	221.68
2	4	289.25	251.65
3	4	293.50	281.76
6	2	264.40	235.32
0	3	263.45	252.91
2	4	258.50	232.65
2	1	271.55	236.25
4	4	297.20	258.56
2	4	282.65	271.34
4	1	280.20	246.58
2	2	254.45	221.37
4	2	269.00	244.79
2	0	204.55	182.05
6	4	288.80	271.47
6	0	230.05	209.35
6	1	207.65	197.27
1	3	203.95	181.52
6	4	236.95	217.99
0	4	205.05	178.39
2	3	267.95	238.48
1	4	291.50	265.27
0	2	285.35	268.23
4	1	287.90	264.87
5	4	252.50	224.73
0	2	208.90	200.54
4	2	297.25	279.42
4	4	291.70	259.61
5	4	261.95	240.99
3	1	290.10	261.09
6	2	250.95	218.33
5	0	276.90	257.52
5	0	279.85	246.27
3	1	299.05	263.16
